date,receipt price,time of exit,dow,is w,is nem,toe hour,toe minute,toe as n
2022-08-23,46.95,1900-01-01 20:54:00,1,False,False,20,54,20.9
2022-08-06,75.0,1900-01-01 16:41:00,5,True,True,16,41,16.683333333333334
2022-08-06,35.0,1900-01-01 19:49:00,5,True,True,19,49,19.816666666666666
2022-08-06,114.35,1900-01-01 19:01:00,5,True,True,19,1,19.016666666666666
2022-08-24,45.4,1900-01-01 19:25:00,2,False,False,19,25,19.416666666666668
2022-08-24,34.7,1900-01-01 19:28:00,2,False,False,19,28,19.466666666666665
2022-08-24,46.4,1900-01-01 20:25:00,2,False,False,20,25,20.416666666666668
2022-08-24,71.3,1900-01-01 20:58:00,2,False,False,20,58,20.966666666666665
2022-08-25,20.25,1900-01-01 16:26:00,3,False,False,16,26,16.433333333333334
2022-08-25,66.85,1900-01-01 17:40:00,3,False,False,17,40,17.666666666666668
2022-08-25,49.5,1900-01-01 18:16:00,3,False,False,18,16,18.266666666666666
2022-08-25,48.4,1900-01-01 19:08:00,3,False,False,19,8,19.133333333333333
2022-08-25,92.95,1900-01-01 19:20:00,3,False,False,19,20,19.333333333333332
2022-08-25,35.75,1900-01-01 20:05:00,3,False,False,20,5,20.083333333333332
2022-08-26,51.3,1900-01-01 17:08:00,4,False,True,17,8,17.133333333333333
2022-08-26,68.75,1900-01-01 17:21:00,4,False,True,17,21,17.35
2022-08-26,124.75,1900-01-01 19:31:00,4,False,True,19,31,19.516666666666666
2022-08-06,48.15,1900-01-01 16:30:00,5,True,True,16,30,16.5
2022-08-27,46.75,1900-01-01 17:14:00,5,True,True,17,14,17.233333333333334
2022-08-06,60.9,1900-01-01 17:03:00,5,True,True,17,3,17.05
2022-08-27,43.2,1900-01-01 18:00:00,5,True,True,18,0,18.0
2022-08-27,94.65,1900-01-01 18:27:00,5,True,True,18,27,18.45
2022-08-06,109.0,1900-01-01 17:28:00,5,True,True,17,28,17.466666666666665
2022-08-27,145.05,1900-01-01 19:52:00,5,True,True,19,52,19.866666666666667
2022-08-27,76.3,1900-01-01 19:58:00,5,True,True,19,58,19.966666666666665
2022-08-20,63.7,1900-01-01 19:28:00,5,True,True,19,28,19.466666666666665
2022-08-28,23.7,1900-01-01 17:23:00,6,True,False,17,23,17.383333333333333
2022-08-28,95.3,1900-01-01 18:14:00,6,True,False,18,14,18.233333333333334
2022-08-28,38.0,1900-01-01 18:16:00,6,True,False,18,16,18.266666666666666
2022-08-20,71.85,1900-01-01 19:14:00,5,True,True,19,14,19.233333333333334
2022-08-27,104.85,1900-01-01 19:44:00,5,True,True,19,44,19.733333333333334
2022-08-31,49.35,1900-01-01 18:55:00,2,False,False,18,55,18.916666666666668
2022-08-31,48.5,1900-01-01 19:07:00,2,False,False,19,7,19.116666666666667
2022-08-31,46.0,1900-01-01 19:19:00,2,False,False,19,19,19.316666666666666
2022-08-20,46.2,1900-01-01 19:05:00,5,True,True,19,5,19.083333333333332
2022-08-10,56.95,1900-01-01 17:33:00,2,False,False,17,33,17.55
2022-08-09,81.35,1900-01-01 18:41:00,1,False,False,18,41,18.683333333333334
2022-08-10,66.35,1900-01-01 17:35:00,2,False,False,17,35,17.583333333333332
2022-08-10,87.25,1900-01-01 18:18:00,2,False,False,18,18,18.3
2022-08-06,66.5,1900-01-01 17:34:00,5,True,True,17,34,17.566666666666666
2022-08-23,157.45,1900-01-01 20:12:00,1,False,False,20,12,20.2
2022-08-02,66.05,1900-01-01 20:05:00,1,False,False,20,5,20.083333333333332
2022-08-14,109.55,1900-01-01 17:40:00,6,True,False,17,40,17.666666666666668
2022-08-21,101.15,1900-01-01 18:59:00,6,True,False,18,59,18.983333333333334
2022-08-07,64.95,1900-01-01 19:38:00,6,True,False,19,38,19.633333333333333
2022-08-07,53.5,1900-01-01 19:33:00,6,True,False,19,33,19.55
2022-08-03,65.25,1900-01-01 16:57:00,2,False,False,16,57,16.95
