id,date,total,time of exit
12009,12-8-2022,"49,80",1749
12127,28-8-2022,"25,45",1619
12131,28-8-2022,"17,50",1818
12036,14-8-2022,"16,50",1604
12037,14-8-2022,"47,35",1709
12040,14-8-2022,"18,75",1856
11965,7-8-2022,"47,90",1732
11967,7-8-2022,"80,60",1838
12117,26-8-2022,"46,10",1936
12099,24-8-2022,"19,45",1855
12100,24-8-2022,"78,45",1923
12098,24-8-2022,"43,85",1829
12124,27-8-2022,"63,40",1920
11918,4-8-2022,"70,85",2014
11922,4-8-2022,"54,40",2056
11908,4-8-2022,"22,00",1652
11921,4-8-2022,"45,10",2031
12137,31-8-2022,"75,00",1955
11999,10-8-2022,"56,20",1930
11927,5-8-2022,"55,00",1808
11934,5-8-2022,"50,50",2007
11928,5-8-2022,"58,50",1940
11937,5-8-2022,"14,60",2041
12056,17-8-2022,"105,40",1907
12057,17-8-2022,"70,80",1950
11879,2-8-2022,"50,80",1741
11889,2-8-2022,"92,00",2017
11885,2-8-2022,"53,00",1938
11884,2-8-2022,"118,50",1855
11881,2-8-2022,"16,50",1831
11890,2-8-2022,"50,90",2025
11896,3-8-2022,"66,40",1701
11898,3-8-2022,"45,00",1751
12122,27-8-2022,"43,20",1757
12079,20-8-2022,"114,70",2025
12078,20-8-2022,"44,15",1955
12074,20-8-2022,"100,40",1903
12071,20-8-2022,"56,25",1813
12072,20-8-2022,"97,60",1834
12073,20-8-2022,"39,20",1841
12090,23-8-2022,"268,85",1923
12087,23-8-2022,"103,55",1659
12067,19-8-2022,"88,70",2007
12027,13-8-2022,"71,60",1901
12031,13-8-2022,"126,00",2130
12016,13-8-2022,"20,25",1631
12024,13-8-2022,"40,00",1755
12025,13-8-2022,"44,50",1850
12026,13-8-2022,"35,00",1852
12002,11-8-2022,"64,25",1920
11981,9-8-2022,"43,95",1911
11940,6-8-2022,"75,00",1641
11954,6-8-2022,"35,00",1949
11951,6-8-2022,"114,35",1901
11938,6-8-2022,"48,15",1630
11943,6-8-2022,"60,90",1703
11944,6-8-2022,"109,00",1728
12077,20-8-2022,"63,70",1928
12076,20-8-2022,"71,85",1914
12075,20-8-2022,"46,20",1905
