receipt id,product,quantity,Category,Subcategory
12090,bavaria bier,2,Beverage,Beer
12090,zuid-afrikaans wijn glas,5,Beverage,Wine
12090,frisdrank,1,Beverage,Soda
12090,ice tea,8,Beverage,Soda
12090,kita,6,Starter,
12090,doro,3,Starter,
12090,kinche,1,Starter,
12090,zetzel tibs (kip),4,Main course,Meat
12090,dhoro wet,1,Main course,Meat
12090,minchet abisch,1,Main course,Meat
12090,combi vegi,1,Main course,Vegetarian
12090,kinderijsje,1,Dessert,
12087,thee 1 persoon,1,Beverage,Hot
12087,mango sap,4,Beverage,Juice
12087,bavaria bier,2,Beverage,Beer
12087,combi vegi,2,Main course,Vegetarian
12087,soep,1,Starter,
12087,keey wet (beg),2,Main course,Meat
12087,tiramisu,1,Dessert,
12067,mango sap,1,Beverage,Juice
12067,frisdrank,5,Beverage,Soda
12067,key wet (bere),1,Main course,Meat
12067,dhoro wet,1,Main course,Meat
12067,tibs,1,Main course,Meat
12067,zelzel tibs (rund),1,Main course,Meat
12067,spa blauw/rood liter,1,Beverage,Water
12031,combi vegi,2,Main course,Vegetarian
12031,combi vlees en vegi,1,Main course,Meat
12031,zelzel tibs (rund),1,Main course,Meat
12031,tibs,1,Main course,Meat
12031,frisdrank,4,Beverage,Soda
12031,mongozo afrikaans bier,4,Beverage,Beer
12031,spa blauw/rood liter,1,Beverage,Water
12031,zuid-afrikaans wijn glas,1,Beverage,Wine
12024,enjera,4,Other,
12024,tibs,1,Main course,Meat
12024,dhoro wet,1,Main course,Meat
12025,frisdrank,3,Beverage,Soda
12025,key wet (bere),1,Main course,Meat
12025,combi vlees en vegi,1,Main course,Meat
12026,tibs,2,Main course,Meat
12002,tibs,1,Main course,Meat
12002,zelzel tibs (rund),1,Main course,Meat
12002,frisdrank,1,Beverage,Soda
12002,spa blauw/rood liter,1,Beverage,Water
12002,thee 2-3 personen,1,Beverage,Hot
11981,mongozo afrikaans bier,1,Beverage,Beer
11981,frisdrank,1,Beverage,Soda
11981,tibs,1,Main course,Meat
11981,combi vlees en vegi,1,Main course,Meat
11940,mango sap,4,Beverage,Juice
11940,combi vlees en vegi,3,Main course,Meat
11940,mongozo afrikaans bier,1,Beverage,Beer
11954,tibs,2,Main course,Meat
11951,frisdrank,1,Beverage,Soda
11951,bavaria bier,1,Beverage,Beer
11951,mongozo afrikaans bier,1,Beverage,Beer
11951,zetzel tibs (kip),1,Main course,Meat
11951,tibs,1,Main course,Meat
11951,zelzel tibs (rund),1,Main course,Meat
11951,combi vlees en vegi,1,Main course,Meat
11951,mongozo afrikaans bier,2,Beverage,Beer
11951,vani mango,2,Dessert,
11938,tibs,1,Main course,Meat
11938,zelzel tibs (rund),1,Main course,Meat
11938,koffie 1 persoon,1,Beverage,Hot
11938,mongozo afrikaans bier,2,Beverage,Beer
11938,frisdrank,1,Beverage,Soda
11943,mango sap,2,Beverage,Juice
11943,combi vegi,1,Main course,Vegetarian
11943,combi vlees en vegi,1,Main course,Meat
11943,vani mango,2,Dessert,
11943,thee 1 persoon,2,Beverage,Hot
11944,mongozo afrikaans bier,4,Beverage,Beer
11944,frisdrank,2,Beverage,Soda
11944,ice tea,1,Beverage,Soda
11944,combi vlees en vegi,3,Main course,Meat
11944,verse banaan,3,Dessert,
11944,vani mango,1,Dessert,
12077,frisdrank,1,Beverage,Soda
12077,mongozo afrikaans bier,1,Beverage,Beer
12077,super combi,2,Main course,Meat
12076,bavaria bier,1,Beverage,Beer
12076,mongozo afrikaans bier,1,Beverage,Beer
12076,zuid-afrikaans wijn glas,2,Beverage,Wine
12076,combi vlees en vegi,3,Main course,Meat
12075,bavaria bier,1,Beverage,Beer
12075,mongozo afrikaans bier,1,Beverage,Beer
12075,combi vlees en vegi,2,Main course,Meat
