id,date,total,time of exit
12009,12-8-2022,4.980,17:49:00
12127,28-8-2022,2.545,16:19:00
12131,28-8-2022,1.750,18:18:00
12036,14-8-2022,1.650,16:04:00
12037,14-8-2022,4.735,17:09:00
12040,14-8-2022,1.875,18:56:00
11965,7-8-2022,4.790,17:32:00
11967,7-8-2022,8.060,18:38:00
12117,26-8-2022,4.610,19:36:00
12099,24-8-2022,1.945,18:55:00
12100,24-8-2022,7.845,19:23:00
12098,24-8-2022,4.385,18:29:00
12124,27-8-2022,6.340,19:20:00
11918,4-8-2022,7.085,20:14:00
11922,4-8-2022,5.440,20:56:00
11908,4-8-2022,2.200,16:52:00
11921,4-8-2022,4.510,20:31:00
12137,31-8-2022,7.500,19:55:00
11999,10-8-2022,5.620,19:30:00
11927,5-8-2022,5.500,18:08:00
11934,5-8-2022,5.050,20:07:00
11928,5-8-2022,5.850,19:40:00
11937,5-8-2022,1.460,20:41:00
12056,17-8-2022,10.540,19:07:00
12057,17-8-2022,7.080,19:50:00
11879,2-8-2022,5.080,17:41:00
11889,2-8-2022,9.200,20:17:00
11885,2-8-2022,5.300,19:38:00
11884,2-8-2022,11.850,18:55:00
11881,2-8-2022,1.650,18:31:00
11890,2-8-2022,5.090,20:25:00
11896,3-8-2022,6.640,17:01:00
11898,3-8-2022,4.500,17:51:00
12122,27-8-2022,4.320,17:57:00
12079,20-8-2022,11.470,20:25:00
12078,20-8-2022,4.415,19:55:00
12074,20-8-2022,10.040,19:03:00
12071,20-8-2022,5.625,18:13:00
12072,20-8-2022,9.760,18:34:00
12073,20-8-2022,3.920,18:41:00
12090,23-8-2022,26.885,19:23:00
12087,23-8-2022,10.355,16:59:00
12067,19-8-2022,8.870,20:07:00
12027,13-8-2022,7.160,19:01:00
12031,13-8-2022,12.600,21:30:00
12016,13-8-2022,2.025,16:31:00
12024,13-8-2022,4.000,17:55:00
12025,13-8-2022,4.450,18:50:00
12026,13-8-2022,3.500,18:52:00
12002,11-8-2022,6.425,19:20:00
11981,9-8-2022,4.395,19:11:00
11940,6-8-2022,7.500,16:41:00
11954,6-8-2022,3.500,19:49:00
11951,6-8-2022,11.435,19:01:00
11938,6-8-2022,4.815,16:30:00
11943,6-8-2022,6.090,17:03:00
11944,6-8-2022,10.900,17:28:00
12077,20-8-2022,6.370,19:28:00
12076,20-8-2022,7.185,19:14:00
12075,20-8-2022,4.620,19:05:00
